ID,LOCATION,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Total,Pct Avg to Date
ASHO3,ASHLAND,0.57,1.36,1.02,1.89,2.38,3.32,2.40,1.43,1.06,0.46,0.00,0.00,15.89,80
CVJO3,CAVE JUNCTION,2.96,7.61,3.44,10.81,3.96,16.59,3.72,0.96,1.73,0.48,0.00,0.00,52.26,84
GOLO3,GOLD BEACH,6.22,11.73,6.85,18.56,5.86,24.02,10.90,4.15,5.05,0.33,0.10,0.00,93.77,118
GPSO3,GRANTS PASS KAJO,1.14,4.38,1.35,5.40,2.68,8.02,2.15,0.50,1.60,0.54,0.00,0.00,27.76,89
GSPO3,GREEN SPRINGS PP,0.99,1.99,0.54,4.34,2.18,4.16,3.25,1.18,1.69,0.40,0.00,0.00,20.72,90
LEMO3,LEMOLO LAKE,3.92,9.73,7.37,16.54,7.77,15.73,8.29,3.65,4.95,0.44,0.04,0.00,78.43,120
MFR,MEDFORD,0.65,1.99,0.94,2.76,2.19,3.72,1.92,1.10,2.36,0.07,0.00,0.00,17.70,96
RIDO3,RIDDLE,0.69,4.25,1.47,5.42,1.08,9.34,2.67,0.73,2.38,0.64,0.00,0.00,28.67,91
ROGO3,ROSEBURG,1.88,5.19,2.05,6.00,3.64,10.28,2.93,0.97,2.54,0.45,0.00,0.00,35.93,107
SXT,SEXTON SUMMIT,1.72,8.30,2.14,8.77,5.32,13.78,3.55,1.23,2.57,0.40,0.04,0.00,47.82,144
TKFO3,TOKETEE FALLS,2.44,4.73,3.39,8.51,5.15,11.84,6.47,2.56,4.20,0.49,0.02,0.00,49.80,102
WINO3,WINCHESTER DAM,2.19,4.58,2.26,5.72,3.73,9.75,3.07,1.12,2.32,0.47,0.00,0.00,35.21,98
WLMO3,WILLIAMS,1.01,4.03,2.03,8.85,2.39,9.51,1.51,0.77,1.11,0.33,0.00,0.00,31.54,97
HMRO3,HART MOUNTAIN REF,0.31,0.75,0.13,0.70,0.80,1.47,1.76,1.60,1.03,0.00,0.00,0.01,8.56,67
PASO3,PAISLEY,0.27,0.33,0.27,0.63,0.52,1.92,0.78,0.86,0.50,0.00,0.03,0.00,6.11,57
SMMO3,SUMMER LAKE,0.40,0.75,1.07,1.45,0.53,2.83,0.88,0.65,0.46,0.05,0.10,0.17,9.34,73
SVLO3,SILVER LAKE,0.19,0.51,0.48,0.76,0.73,1.59,1.03,0.48,0.83,0.28,0.03,0.00,6.91,71
CEC,CRESCENT CITY ASOS,5.62,7.15,4.34,12.20,2.73,17.38,6.38,1.46,3.23,0.33,0.37,0.07,61.26,NA
CECC1,CRESCENT CITY 3NNW,5.83,8.36,6.11,14.77,4.13,22.35,8.68,1.99,3.49,0.23,0.38,0.00,76.32,114
EKA,EUREKA,4.21,3.86,2.22,7.76,2.63,12.02,4.76,0.77,2.00,0.67,0.07,0.04,41.01,108
FRBC1,FT BRAGG 5N,6.21,4.47,1.53,5.42,2.95,11.71,2.94,0.51,0.55,0.16,0.12,0.15,36.72,90
GASC1,GASQUET RS,6.34,9.61,8.10,20.34,5.52,27.89,12.15,2.46,4.03,0.43,0.00,0.00,96.87,105
